phrase_id,category,source_key,risk_level,approval_state,source_language,english_source,reviewer,approved_date,notes,English (en),Spanish (es),Chinese (zh),Tagalog (tl),Vietnamese (vi),Arabic (ar),French (fr),Korean (ko),Portuguese (pt),Hindi (hi),Haitian Creole (ht),Russian (ru),German (de),Telugu (te),Urdu (ur),Italian (it),Polish (pl),Bengali (bn),Gujarati (gu),Japanese (ja),Farsi/Persian (fa)
app_choose_language,App Entry,chooseLanguage,Low,Draft - Needs Review,English,Choose Language,,,AI draft translation pack. Requires bilingual human review before production release.,Choose Language,Elegir idioma,选择语言,Pumili ng wika,Chọn ngôn ngữ,اختر اللغة,Choisir la langue,언어 선택,Escolher idioma,भाषा चुनें,Chwazi lang,Выберите язык,Sprache wählen,భాషను ఎంచుకోండి,زبان منتخب کریں,Scegli lingua,Wybierz język,ভাষা নির্বাচন করুন,ભાષા પસંદ કરો,言語を選択,زبان را انتخاب کنید
app_locations,Navigation,locations,Low,Draft - Needs Review,English,Locations,,,AI draft translation pack. Requires bilingual human review before production release.,Locations,Ubicaciones,位置,Mga lokasyon,Địa điểm,المواقع,Lieux,위치,Locais,स्थान,Kote yo,Места,Standorte,స్థానాలు,مقامات,Località,Lokalizacje,অবস্থান,સ્થાનો,場所,مکان‌ها
app_search_location,Location Search,search,Medium,Draft - Needs Review,English,Search ZIP code or location,,,AI draft translation pack. Requires bilingual human review before production release.,Search ZIP code or location,Buscar código postal o ubicación,搜索邮政编码或位置,Maghanap ng ZIP code o lokasyon,Tìm mã ZIP hoặc địa điểm,ابحث برمز بريدي أو موقع,Rechercher un code postal ou un lieu,우편번호 또는 위치 검색,Buscar CEP ou local,ZIP कोड या स्थान खोजें,Chèche kòd postal oswa kote,Поиск ZIP-кода или места,PLZ oder Ort suchen,ZIP కోడ్ లేదా స్థానం వెతకండి,ZIP کوڈ یا مقام تلاش کریں,Cerca CAP o località,Szukaj kodu ZIP lub lokalizacji,ZIP কোড বা অবস্থান খুঁজুন,ZIP કોડ અથવા સ્થાન શોધો,郵便番号または場所を検索,جستجوی کد پستی یا مکان
app_alerts,Navigation,alerts,Low,Draft - Needs Review,English,Alerts,,,AI draft translation pack. Requires bilingual human review before production release.,Alerts,Alertas,警报,Mga alerto,Cảnh báo,التنبيهات,Alertes,알림,Alertas,अलर्ट,Alèt,Оповещения,Warnungen,హెచ్చరికలు,الرٹس,Avvisi,Alerty,সতর্কতা,ચેતવણીઓ,警報,هشدارها
alerts_none_active,Alert Status,noActive,Medium,Draft - Needs Review,English,No active alerts,,,AI draft translation pack. Requires bilingual human review before production release.,No active alerts,No hay alertas activas,没有活动警报,Walang aktibong alerto,Không có cảnh báo hoạt động,لا توجد تنبيهات نشطة,Aucune alerte active,활성 알림 없음,Nenhum alerta ativo,कोई सक्रिय अलर्ट नहीं,Pa gen alèt aktif,Нет активных оповещений,Keine aktiven Warnungen,సక్రియ హెచ్చరికలు లేవు,کوئی فعال الرٹ نہیں,Nessun avviso attivo,Brak aktywnych alertów,কোন সক্রিয় সতর্কতা নেই,કોઈ સક્રિય ચેતવણી નથી,有効な警報はありません,هشدار فعالی وجود ندارد
alerts_none_active_body,Alert Status,noActiveBody,Medium,Draft - Needs Review,English,No active alerts for your locations based on the alert types we support.,,,AI draft translation pack. Requires bilingual human review before production release.,No active alerts for your locations based on the alert types we support.,No hay alertas activas para tus ubicaciones según los tipos de alerta compatibles.,根据我们支持的警报类型，您的位置当前没有活动警报。,Walang aktibong alerto para sa iyong mga lokasyon batay sa mga uri ng alertong sinusuportahan namin.,Không có cảnh báo hoạt động cho các địa điểm của bạn theo loại cảnh báo được hỗ trợ.,لا توجد تنبيهات نشطة لمواقعك بناء على أنواع التنبيهات المدعومة.,Aucune alerte active pour vos lieux selon les types d'alertes pris en charge.,지원되는 알림 유형 기준으로 현재 위치에 활성 알림이 없습니다.,Nenhum alerta ativo para seus locais com base nos tipos de alerta que apoiamos.,आपके स्थानों के लिए समर्थित अलर्ट प्रकारों के आधार पर कोई सक्रिय अलर्ट नहीं है।,Pa gen alèt aktif pou kote ou yo dapre kalite alèt nou sipòte yo.,Для ваших мест нет активных оповещений по поддерживаемым типам.,Für Ihre Standorte gibt es derzeit keine aktiven Warnungen der unterstützten Typen.,మేము మద్దతు ఇచ్చే హెచ్చరిక రకాల ఆధారంగా మీ స్థానాలకు సక్రియ హెచ్చరికలు లేవు.,آپ کے مقامات کے لیے معاون الرٹ اقسام کی بنیاد پر کوئی فعال الرٹ نہیں ہے۔,Nessun avviso attivo per le tue località in base ai tipi supportati.,Brak aktywnych alertów dla twoich lokalizacji według obsługiwanych typów.,সমর্থিত সতর্কতার ধরন অনুযায়ী আপনার অবস্থানের জন্য কোন সক্রিয় সতর্কতা নেই।,સમર્થિત ચેતવણી પ્રકારોના આધારે તમારા સ્થાનો માટે કોઈ સક્રિય ચેતવણી નથી.,対応している警報タイプに基づくと、登録場所に有効な警報はありません。,برای مکان‌های شما بر اساس انواع هشدارهای پشتیبانی‌شده هشدار فعالی وجود ندارد.
alerts_report_issue,User Feedback,report,Medium,Draft - Needs Review,English,Report an issue,,,AI draft translation pack. Requires bilingual human review before production release.,Report an issue,Reportar un problema,报告问题,Mag-ulat ng isyu,Báo cáo vấn đề,الإبلاغ عن مشكلة,Signaler un probleme,문제 신고,Reportar problema,समस्या रिपोर्ट करें,Rapòte yon pwoblèm,Сообщить о проблеме,Problem melden,సమస్యను నివేదించండి,مسئلہ رپورٹ کریں,Segnala un problema,Zgłoś problem,সমস্যা জানান,સમસ્યા રિપોર્ટ કરો,問題を報告,گزارش مشکل
alerts_learn,Education,learn,Low,Draft - Needs Review,English,Learn about alerts,,,AI draft translation pack. Requires bilingual human review before production release.,Learn about alerts,Aprender sobre alertas,了解警报,Alamin ang tungkol sa mga alerto,Tìm hiểu cảnh báo,تعرف على التنبيهات,En savoir plus sur les alertes,알림 알아보기,Aprender sobre alertas,अलर्ट के बारे में जानें,Aprann sou alèt,Узнать об оповещениях,Mehr über Warnungen,హెచ్చరికల గురించి తెలుసుకోండి,الرٹس کے بارے میں جانیں,Scopri gli avvisi,Dowiedz się o alertach,সতর্কতা সম্পর্কে জানুন,ચેતવણીઓ વિશે જાણો,警報について学ぶ,درباره هشدارها بدانید
alerts_learn_body,Education,learnBody,Low,Draft - Needs Review,English,Get to know the types of alerts that you could receive.,,,AI draft translation pack. Requires bilingual human review before production release.,Get to know the types of alerts that you could receive.,Conoce los tipos de alertas que podrías recibir.,了解您可能收到的警报类型。,Alamin ang mga uri ng alertong maaari mong matanggap.,Tìm hiểu các loại cảnh báo bạn có thể nhận.,تعرف على أنواع التنبيهات التي قد تتلقاها.,Decouvrez les types d'alertes que vous pourriez recevoir.,받을 수 있는 알림 유형을 알아보세요.,Conheca os tipos de alerta que voce pode receber.,आपको मिलने वाले अलर्ट के प्रकारों के बारे में जानें।,Aprann kalite alèt ou ka resevwa yo.,"Узнайте, какие типы оповещений вы можете получать.","Lernen Sie die Arten von Warnungen kennen, die Sie erhalten können.",మీరు పొందగల హెచ్చరిక రకాల గురించి తెలుసుకోండి.,ان الرٹس کی اقسام کے بارے میں جانیں جو آپ حاصل کر سکتے ہیں۔,Scopri i tipi di avvisi che potresti ricevere.,"Poznaj typy alertów, które możesz otrzymać.",আপনি কোন ধরনের সতর্কতা পেতে পারেন তা জানুন।,તમે મેળવી શકો તેવી ચેતવણીઓના પ્રકારો વિશે જાણો.,受け取る可能性がある警報の種類を確認します。,با انواع هشدارهایی که ممکن است دریافت کنید آشنا شوید.
prepare,Preparedness,prepare,Low,Draft - Needs Review,English,Prepare,,,AI draft translation pack. Requires bilingual human review before production release.,Prepare,Preparar,准备,Maghanda,Chuẩn bị,استعد,Se preparer,대비,Preparar,तैयारी,Prepare,Подготовка,Vorbereiten,సిద్ధం,تیاری,Preparati,Przygotuj się,প্রস্তুত হন,તૈયાર થાઓ,備える,آماده شوید
prepare_title,Preparedness,prepareTitle,Low,Draft - Needs Review,English,Learn and Plan for Hazards,,,AI draft translation pack. Requires bilingual human review before production release.,Learn and Plan for Hazards,Aprende y planifica para peligros,学习并规划风险应对,Matuto at magplano para sa mga panganib,Tìm hiểu và lập kế hoạch cho nguy cơ,تعلم وخطط للمخاطر,Apprendre et planifier face aux risques,위험에 대비하고 계획하기,Aprenda e planeje para perigos,खतरों के लिए सीखें और योजना बनाएं,Aprann epi planifye pou danje,Учитесь и планируйте действия при опасностях,Lernen und für Gefahren planen,ప్రమాదాల కోసం నేర్చుకోండి మరియు ప్రణాళిక చేయండి,خطرات کے لیے سیکھیں اور منصوبہ بنائیں,Impara e pianifica per i rischi,Ucz się i planuj na zagrożenia,বিপদের জন্য শিখুন এবং পরিকল্পনা করুন,જોખમો માટે શીખો અને યોજના બનાવો,災害に備えて学び計画する,برای خطرات بیاموزید و برنامه‌ریزی کنید
prepare_improved_body,Preparedness,improvedBody,Medium,Draft - Needs Review,English,"Get simple steps to stay safe before, during, and after a hazard.",,,AI draft translation pack. Requires bilingual human review before production release.,"Get simple steps to stay safe before, during, and after a hazard.","Obtén pasos sencillos para mantenerte seguro antes, durante y después de un peligro.",获取在危险发生前、期间和之后保持安全的简单步骤。,"Kumuha ng mga simpleng hakbang para manatiling ligtas bago, habang, at pagkatapos ng panganib.","Nhận các bước đơn giản để an toàn trước, trong và sau nguy cơ.",احصل على خطوات بسيطة للبقاء آمنا قبل الخطر وأثناءه وبعده.,"Obtenez des etapes simples pour rester en securite avant, pendant et apres un danger.","위험 전, 중, 후에 안전을 지키는 간단한 단계를 확인하세요.","Veja passos simples para ficar seguro antes, durante e depois de um perigo.","खतरे से पहले, दौरान और बाद में सुरक्षित रहने के सरल कदम पाएं।","Jwenn etap senp pou rete an sekirite anvan, pandan, ak apre yon danje.","Получите простые шаги для безопасности до, во время и после опасности.","Erhalten Sie einfache Schritte, um vor, während und nach einer Gefahr sicher zu bleiben.","ప్రమాదానికి ముందు, సమయంలో, తరువాత సురక్షితంగా ఉండేందుకు సులభమైన దశలను పొందండి.",خطرے سے پہلے، دوران، اور بعد محفوظ رہنے کے آسان اقدامات حاصل کریں۔,"Ottieni semplici passaggi per restare al sicuro prima, durante e dopo un pericolo.","Poznaj proste kroki, aby zachować bezpieczeństwo przed, w trakcie i po zagrożeniu.","বিপদের আগে, সময়ে, এবং পরে নিরাপদ থাকার সহজ ধাপ পান।","જોખમ પહેલાં, દરમિયાન અને પછી સુરક્ષિત રહેવા સરળ પગલાં મેળવો.",危険の前、最中、後に安全を保つための簡単な手順を確認します。,گام‌های ساده برای ایمن ماندن پیش، هنگام، و پس از خطر را دریافت کنید.
prepare_plans_body,Preparedness,plansBody,Low,Draft - Needs Review,English,Create plans that fit your needs.,,,AI draft translation pack. Requires bilingual human review before production release.,Create plans that fit your needs.,Crea planes que se ajusten a tus necesidades.,创建适合您需求的计划。,Gumawa ng mga planong akma sa iyong pangangailangan.,Tạo kế hoạch phù hợp với nhu cầu của bạn.,أنشئ خططا تناسب احتياجاتك.,Creez des plans adaptes a vos besoins.,필요에 맞는 계획을 만드세요.,Crie planos que atendam as suas necessidades.,अपनी जरूरतों के अनुसार प्लान बनाएं।,Kreye plan ki adapte ak bezwen ou.,Создавайте планы под свои потребности.,"Erstellen Sie Pläne, die zu Ihren Bedürfnissen passen.",మీ అవసరాలకు సరిపోయే ప్రణాళికలను రూపొందించండి.,اپنی ضروریات کے مطابق منصوبے بنائیں۔,Crea piani adatti alle tue esigenze.,Twórz plany dopasowane do swoich potrzeb.,আপনার প্রয়োজন অনুযায়ী পরিকল্পনা তৈরি করুন।,તમારી જરૂરિયાત મુજબ પ્લાન બનાવો.,自分のニーズに合った計画を作成します。,برنامه‌هایی متناسب با نیازهای خود بسازید.
prepare_get_started,Call To Action,getStarted,Low,Draft - Needs Review,English,Get Started,,,AI draft translation pack. Requires bilingual human review before production release.,Get Started,Comenzar,开始,Magsimula,Bắt đầu,ابدأ,Commencer,시작하기,Comecar,शुरू करें,Kòmanse,Начать,Loslegen,ప్రారంభించండి,شروع کریں,Inizia,Rozpocznij,শুরু করুন,શરૂ કરો,開始,شروع کنید
severe_thunderstorm_title,Warning,detailTitle,High,Draft - Needs Review,English,Severe Thunderstorm Warning,,,AI draft translation pack. Requires bilingual human review before production release.,Severe Thunderstorm Warning,Advertencia de tormenta severa,强雷暴警告,Babala sa malakas na bagyo,Cảnh báo giông bão nghiêm trọng,تحذير عاصفة رعدية شديدة,Alerte d'orage violent,강한 뇌우 경보,Aviso de tempestade severa,गंभीर तूफान चेतावनी,Avètisman gwo loraj,Предупреждение о сильной грозе,Warnung vor schwerem Gewitter,తీవ్ర ఉరుము హెచ్చరిక,شدید گرج چمک کی وارننگ,Avviso di temporale forte,Ostrzeżenie przed silną burzą,তীব্র বজ্রঝড় সতর্কতা,તીવ્ર વાવાઝોડાની ચેતવણી,激しい雷雨警報,هشدار رعدوبرق شدید
